Origin,originId,Destination,destinationId,pointValue
Gronigen,1,Middelburg,22,34
Emmen,2,Antwerpen,23,33
Leeuwarden,5,Antwerpen,23,32
Gronigen,1,Breda,24,31
Waddeneilanden,4,Duisburg,12,31
Den_Helder,8,Liege,28,29
Lingen,3,s-Gravenhage,17,26
Sneek,9,Eindhoven,20,26
Leeuwarden,5,s-Hertogenbosch,19,24
Lelystad,10,Aarschet,26,24
Duisburg,12,Rotterdam,18,23
Emden,0,Utrecht,15,22
Utrecht,15,Hasselt,29,22
Gronigen,1,Amsterdam,14,21
Nijmegen,16,Antwerpen,23,21
Rotterdam,18,Middelburg,22,21
Amsterdam,14,Maastricht,25,20
Waddeneilanden,4,s-Gravenhage,17,20
Amsterdam,14,Antwerpen,23,19
Utrecht,15,Middelburg,22,19
s-Gravenhage,17,Liege,28,18
Zwolle,6,Maastricht,25,18
Zwolle,6,Rotterdam,18,17
Emden,0,Waddeneilanden,4,16
Sneek,9,Utrecht,15,16
Enschede,7,Amsterdam,14,15
Enschede,7,Eindhoven,20,15
Leeuwarden,5,Haarlem,13,15
Arnhem,11,s-Gravenhage,17,14
Den_Helder,8,Rotterdam,18,14
Gronigen,1,Enschede,7,14
Lingen,3,Duisburg,12,14
s-Gravenhage,17,Antwerpen,23,14
Zwolle,6,Haarlem,13,14
Amsterdam,14,Nijmegen,16,13
Emmen,2,Lelystad,10,13
Rotterdam,18,Antwerpen,23,13
Haarlem,13,Breda,24,12
Liege,28,Duisburg,12,12
Rotterdam,18,Turnhout,27,12
Amsterdam,14,Rotterdam,18,10
Arnhem,11,s-Hertogenbosch,19,10
Amsterdam,14,s-Gravenhage,17,9
Breda,24,Eindhoven,20,7
