Origin,Destination,Dependencies
Harrisburg,York,4
Allentown,Stroudsburg,1
Wheeling,Pittsburg,2
New_York,Albany,1
Wheeling,Youngstown,1
Warren,Dubois,2
Philadelphia,Atlantic_City,1
Baltimore,Philadelphia,3
Towanda,Elmira,2
Dubois,Altoona,6
Philadelphia,New_York,3
Youngstown,Erie,2
Dubois,Williamsport,2
Coudersport,Elmira,1
Oil_City,Pittsburg,2
Towanda,Scranton/Wilkes_Barre,1
Youngstown,Pittsburg,1
Pittsburg,Johnstown,7
Oil_City,Dubois,4
Elmira,Binghampton,1
Lancaster,Philadelphia,3
Lancaster,Reading,1
Morgantown,Cumberland,1
Buffalo,Coudersport,4
Morgantown,Pittsburg,2
New_York,Atlantic_City,1
Altoona,Lewistown,11
Ontario,Erie,3
Youngstown,Oil_City,1
Towanda,Binghampton,4
Cumberland,Chambersburg,2
Binghampton,Albany,2
York,Lancaster,1
Johnstown,Cumberland,1
Chambersburg,Harrisburg,2
Williamsport,Scranton/Wilkes_Barre,3
Gettysburg,York,1
Coudersport,Williamsport,4
Harrisburg,Lancaster,4
Syracuse,Albany,1
Binghampton,Scranton/Wilkes_Barre,1
Oil_City,Warren,1
Ontario,Buffalo,4
Scranton/Wilkes_Barre,New_York,3
Syracuse,Binghampton,2
Johnstown,Altoona,11
York,Baltimore,3
Buffalo,Warren,3
Erie,Oil_City,2
Buffalo,Rochester,3
Scranton/Wilkes_Barre,Allentown,3
Rochester,Elmira,2
Harrisburg,Reading,2
Lewistown,Harrisburg,11
Harrisburg,Scranton/Wilkes_Barre,3
Rochester,Syracuse,2
Williamsport,Towanda,6
Reading,Allentown,3
Lewistown,Williamsport,9
