Origin,originId,Destination,destinationId,carCost
Ontario,0,Erie,1,3
Ontario,0,Buffalo,2,1
Erie,1,Youngstown,3,4
Erie,1,Oil_City,4,3
Erie,1,Warren,5,3
Erie,1,Buffalo,2,5
Erie,1,Ontario,0,3
Buffalo,2,Erie,1,5
Buffalo,2,Warren,5,4
Buffalo,2,Coudersport,6,4
Buffalo,2,Rochester,7,5
Buffalo,2,Ontario,0,1
Youngstown,3,Wheeling,8,5
Youngstown,3,Pittsburg,9,4
Youngstown,3,Oil_City,4,3
Youngstown,3,Erie,1,4
Oil_City,4,Youngstown,3,3
Oil_City,4,Pittsburg,9,4
Oil_City,4,Dubois,10,3
Oil_City,4,Warren,5,2
Oil_City,4,Erie,1,3
Warren,5,Oil_City,4,2
Warren,5,Dubois,10,3
Warren,5,Coudersport,6,4
Warren,5,Buffalo,2,4
Warren,5,Erie,1,3
Coudersport,6,Warren,5,4
Coudersport,6,Williamsport,11,4
Coudersport,6,Elmira,12,4
Coudersport,6,Buffalo,2,4
Rochester,7,Buffalo,2,5
Rochester,7,Elmira,12,3
Rochester,7,Syracuse,13,4
Wheeling,8,Morgantown,14,3
Wheeling,8,Pittsburg,9,2
Wheeling,8,Youngstown,3,5
Pittsburg,9,Wheeling,8,2
Pittsburg,9,Morgantown,14,3
Pittsburg,9,Johnstown,15,4
Pittsburg,9,Oil_City,4,4
Pittsburg,9,Youngstown,3,4
Dubois,10,Oil_City,4,3
Dubois,10,Altoona,16,2
Dubois,10,Williamsport,11,6
Dubois,10,Warren,5,3
Williamsport,11,Dubois,10,6
Williamsport,11,Lewistown,17,3
Williamsport,11,Scranton/Wilkes_Barre,18,5
Williamsport,11,Towanda,19,2
Williamsport,11,Coudersport,6,4
Elmira,12,Coudersport,6,4
Elmira,12,Towanda,19,2
Elmira,12,Binghampton,20,3
Elmira,12,Syracuse,13,4
Elmira,12,Rochester,7,3
Syracuse,13,Rochester,7,4
Syracuse,13,Elmira,12,4
Syracuse,13,Binghampton,20,2
Syracuse,13,Albany,21,6
Morgantown,14,Cumberland,22,5
Morgantown,14,Pittsburg,9,3
Morgantown,14,Wheeling,8,3
Johnstown,15,Pittsburg,9,4
Johnstown,15,Cumberland,22,3
Johnstown,15,Altoona,16,1
Altoona,16,Johnstown,15,1
Altoona,16,Harrisburg,23,5
Altoona,16,Lewistown,17,2
Altoona,16,Dubois,10,2
Lewistown,17,Altoona,16,2
Lewistown,17,Harrisburg,23,2
Lewistown,17,Williamsport,11,3
Scranton/Wilkes_Barre,18,Williamsport,11,5
Scranton/Wilkes_Barre,18,Harrisburg,23,6
Scranton/Wilkes_Barre,18,Allentown,24,3
Scranton/Wilkes_Barre,18,Stroudsburg,25,2
Scranton/Wilkes_Barre,18,New_York,26,5
Scranton/Wilkes_Barre,18,Binghampton,20,3
Scranton/Wilkes_Barre,18,Towanda,19,3
Towanda,19,Williamsport,11,2
Towanda,19,Scranton/Wilkes_Barre,18,3
Towanda,19,Binghampton,20,2
Towanda,19,Elmira,12,2
Binghampton,20,Towanda,19,2
Binghampton,20,Scranton/Wilkes_Barre,18,3
Binghampton,20,Albany,21,6
Binghampton,20,Syracuse,13,2
Binghampton,20,Elmira,12,3
Albany,21,Syracuse,13,6
Albany,21,Binghampton,20,6
Albany,21,New_York,26,6
Cumberland,22,Morgantown,14,5
Cumberland,22,Baltimore,27,7
Cumberland,22,Chambersburg,28,2
Cumberland,22,Johnstown,15,3
Harrisburg,23,Altoona,16,5
Harrisburg,23,Chambersburg,28,2
Harrisburg,23,Gettysburg,29,2
Harrisburg,23,York,30,1
Harrisburg,23,Lancaster,31,2
Harrisburg,23,Reading,32,2
Harrisburg,23,Scranton/Wilkes_Barre,18,6
Harrisburg,23,Lewistown,17,2
Allentown,24,Reading,32,2
Allentown,24,Philadelphia,33,3
Allentown,24,Stroudsburg,25,2
Allentown,24,Scranton/Wilkes_Barre,18,3
Stroudsburg,25,Allentown,24,2
Stroudsburg,25,Scranton/Wilkes_Barre,18,2
New_York,26,Scranton/Wilkes_Barre,18,5
New_York,26,Philadelphia,33,6
New_York,26,Atlantic_City,34,6
New_York,26,Albany,21,6
Baltimore,27,Cumberland,22,7
Baltimore,27,Philadelphia,33,4
Baltimore,27,York,30,2
Baltimore,27,Gettysburg,29,3
Chambersburg,28,Cumberland,22,2
Chambersburg,28,Gettysburg,29,1
Chambersburg,28,Harrisburg,23,2
Gettysburg,29,Chambersburg,28,1
Gettysburg,29,Baltimore,27,3
Gettysburg,29,York,30,1
Gettysburg,29,Harrisburg,23,2
York,30,Gettysburg,29,1
York,30,Baltimore,27,2
York,30,Lancaster,31,1
York,30,Harrisburg,23,1
Lancaster,31,Harrisburg,23,2
Lancaster,31,York,30,1
Lancaster,31,Philadelphia,33,4
Lancaster,31,Reading,32,1
Reading,32,Harrisburg,23,2
Reading,32,Lancaster,31,1
Reading,32,Allentown,24,2
Philadelphia,33,Lancaster,31,4
Philadelphia,33,Baltimore,27,4
Philadelphia,33,Atlantic_City,34,2
Philadelphia,33,New_York,26,6
Philadelphia,33,Allentown,24,3
Atlantic_City,34,Philadelphia,33,2
Atlantic_City,34,New_York,26,6
