Origin,originId,Destination,destinationId,pointValue
Ontario,0,Pittsburg,9,10
Ontario,0,Warren,5,5
Ontario,0,Syracuse,13,10
Dubois,10,Stroudsburg,25,12
Gettysburg,29,Reading,32,3
Wheeling,8,Allentown,24,15
Coudersport,6,Binghampton,20,7
Pittsburg,9,Baltimore,27,13
Pittsburg,9,New_York,26,20
Youngstown,3,Rochester,7,14
Harrisburg,23,Baltimore,27,3
Altoona,16,Binghampton,20,9
Cumberland,22,Harrisburg,23,4
Youngstown,3,Scranton/Wilkes_Barre,18,17
Erie,1,Albany,21,20
Pittsburg,9,Harrisburg,23,9
Wheeling,8,Albany,21,22
Williamsport,11,Albany,21,10
Buffalo,2,Philadelphia,33,19
Buffalo,2,New_York,26,18
Buffalo,2,Baltimore,27,16
Pittsburg,9,Philadelphia,33,15
Warren,5,York,30,10
Wheeling,8,Erie,1,9
Scranton/Wilkes_Barre,18,Allentown,24,3
Morgantown,14,Williamsport,11,13
Philadelphia,33,New_York,26,6
Baltimore,27,New_York,26,10
Oil_City,4,Scranton/Wilkes_Barre,18,14
Dubois,10,Cumberland,22,6
Morgantown,14,Chambersburg,28,7
Chambersburg,28,Scranton/Wilkes_Barre,18,8
Philadelphia,33,Atlantic_City,34,2
Baltimore,27,Philadelphia,33,4
Pittsburg,9,Buffalo,2,10
Buffalo,2,Johnstown,15,10
Harrisburg,23,New_York,26,11
Syracuse,13,Allentown,24,8
Harrisburg,23,Philadelphia,33,6
Buffalo,2,Harrisburg,23,13
Lewistown,17,Syracuse,13,9
Oil_City,4,Johnstown,15,6
Youngstown,3,Morgantown,14,7
Erie,1,Altoona,16,8
Baltimore,27,Albany,21,16
Rochester,7,Elmira,12,3
New_York,26,Atlantic_City,34,6
Johnstown,15,Elmira,12,10
Rochester,7,Reading,32,13
Towanda,19,Lancaster,31,9
