Origin,Destination,Dependencies
Liverpool,Manchester,9
Dublin,Holyhead,3
Aberystwyth,Carmarthen,2
Rosslare,Carmarthen,1
Londonderry,Dundalk,1
Londonderry,Stranraer,1
Dundalk,Belfast,4
Nottingham,Cambridge,1
Northampton,Cambridge,1
Carlisle,Barrow,4
Nottingham,Northampton,3
Sligo,Dundalk,1
Stornoway,Ullapool,2
Wick,Aberdeen,2
Stranraer,Carlisle,1
Limerick,Tullamore,2
Reading,Southampton,4
Leeds,Hull,3
Holyhead,Llandrindod_Wells,1
Reading,London,2
Llandrindod_Wells,Cardiff,2
Stranraer,Belfast,4
London,Brighton,1
Southampton,London,1
Birmingham,Reading,2
Newcastle,Leeds,3
Hull,Norwich,1
Bristol,Reading,4
Inverness,Fort_William,1
Dundalk,Dublin,4
Southampton,France,2
Inverness,Aberdeen,1
Bristol,Southampton,1
Cambridge,Ipswich,1
Belfast,Barrow,2
Northampton,Reading,2
Ullapool,Fort_William,1
Liverpool,Barrow,7
Edinburgh,Carlisle,4
Galway,Tullamore,2
Limerick,Cork,1
Manchester,Llandrindod_Wells,2
Leeds,Nottingham,3
Liverpool,Leeds,2
Dundee,Edinburgh,3
Edinburgh,Newcastle,1
Birmingham,Northampton,5
Dover,France,1
Rosslare,Holyhead,1
Dundalk,Holyhead,1
Bristol,Plymouth,3
Cardiff,Bristol,3
Carmarthen,Cardiff,2
Ullapool,Inverness,2
Manchester,Leeds,2
Tullamore,Dublin,5
Rosslare,Aberystwyth,1
Fort_William,Glasgow,3
Londonderry,Belfast,1
Cork,Rosslare,1
Inverness,Dundee,2
Manchester,Birmingham,7
Cambridge,London,1
Northampton,London,6
Glasgow,Edinburgh,4
Norwich,Ipswich,1
London,Dover,2
Penzance,Plymouth,1
Aberdeen,Dundee,3
Glasgow,Stranraer,2
Holyhead,Liverpool,3
Holyhead,Aberystwyth,1
