Origin,originId,Destination,destinationId,carCost
Stornoway,0,Fort_William,1,5
Stornoway,0,Ullapool,2,1
Stornoway,0,Wick,3,5
Fort_William,1,Londonderry,4,5
Fort_William,1,Glasgow,5,2
Fort_William,1,Dundee,6,3
Fort_William,1,Inverness,7,2
Fort_William,1,Ullapool,2,2
Fort_William,1,Stornoway,0,5
Ullapool,2,Fort_William,1,2
Ullapool,2,Inverness,7,1
Ullapool,2,Wick,3,3
Ullapool,2,Stornoway,0,1
Wick,3,Ullapool,2,3
Wick,3,Inverness,7,2
Wick,3,Aberdeen,8,3
Wick,3,Stornoway,0,5
Londonderry,4,Sligo,9,2
Londonderry,4,Dundalk,10,3
Londonderry,4,Belfast,11,2
Londonderry,4,Stranraer,12,3
Londonderry,4,Glasgow,5,4
Londonderry,4,Fort_William,1,5
Glasgow,5,Londonderry,4,4
Glasgow,5,Stranraer,12,2
Glasgow,5,Edinburgh,13,1
Glasgow,5,Fort_William,1,2
Dundee,6,Edinburgh,13,1
Dundee,6,Aberdeen,8,1
Dundee,6,Inverness,7,3
Dundee,6,Fort_William,1,3
Inverness,7,Fort_William,1,2
Inverness,7,Dundee,6,3
Inverness,7,Aberdeen,8,3
Inverness,7,Wick,3,2
Inverness,7,Ullapool,2,1
Aberdeen,8,Dundee,6,1
Aberdeen,8,Edinburgh,13,4
Aberdeen,8,Newcastle,14,6
Aberdeen,8,Wick,3,3
Aberdeen,8,Inverness,7,3
Sligo,9,Galway,15,2
Sligo,9,Tullamore,17,3
Sligo,9,Dundalk,10,3
Sligo,9,Londonderry,4,2
Dundalk,10,Dublin,18,1
Dundalk,10,Holyhead,19,3
Dundalk,10,Belfast,11,1
Dundalk,10,Londonderry,4,3
Dundalk,10,Sligo,9,3
Belfast,11,Dundalk,10,1
Belfast,11,Barrow,20,4
Belfast,11,Stranraer,12,1
Belfast,11,Londonderry,4,2
Stranraer,12,Belfast,11,1
Stranraer,12,Carlisle,21,3
Stranraer,12,Edinburgh,13,3
Stranraer,12,Glasgow,5,2
Stranraer,12,Londonderry,4,3
Edinburgh,13,Stranraer,12,3
Edinburgh,13,Carlisle,21,2
Edinburgh,13,Newcastle,14,3
Edinburgh,13,Aberdeen,8,4
Edinburgh,13,Dundee,6,1
Edinburgh,13,Glasgow,5,1
Newcastle,14,Carlisle,21,1
Newcastle,14,Leeds,22,2
Newcastle,14,Hull,23,5
Newcastle,14,Aberdeen,8,6
Newcastle,14,Edinburgh,13,3
Galway,15,Limerick,16,1
Galway,15,Tullamore,17,2
Galway,15,Sligo,9,2
Limerick,16,Cork,24,1
Limerick,16,Tullamore,17,1
Limerick,16,Galway,15,1
Tullamore,17,Limerick,16,1
Tullamore,17,Cork,24,3
Tullamore,17,Rosslare,25,2
Tullamore,17,Dublin,18,1
Tullamore,17,Sligo,9,3
Tullamore,17,Galway,15,2
Dublin,18,Tullamore,17,1
Dublin,18,Rosslare,25,2
Dublin,18,Holyhead,19,2
Dublin,18,Dundalk,10,1
Holyhead,19,Rosslare,25,3
Holyhead,19,Aberystwyth,26,2
Holyhead,19,Llandrindod_Wells,27,3
Holyhead,19,Liverpool,28,2
Holyhead,19,Dundalk,10,3
Holyhead,19,Dublin,18,2
Barrow,20,Liverpool,28,1
Barrow,20,Leeds,22,2
Barrow,20,Carlisle,21,1
Barrow,20,Belfast,11,4
Carlisle,21,Barrow,20,1
Carlisle,21,Newcastle,14,1
Carlisle,21,Edinburgh,13,2
Carlisle,21,Stranraer,12,3
Leeds,22,Liverpool,28,2
Leeds,22,Manchester,29,1
Leeds,22,Nottingham,30,2
Leeds,22,Hull,23,1
Leeds,22,Newcastle,14,2
Leeds,22,Barrow,20,2
Hull,23,Leeds,22,1
Hull,23,Nottingham,30,2
Hull,23,Norwich,31,4
Hull,23,Newcastle,14,5
Cork,24,Penzance,32,6
Cork,24,Rosslare,25,2
Cork,24,Tullamore,17,3
Cork,24,Limerick,16,1
Rosslare,25,Cork,24,2
Rosslare,25,Carmarthen,33,4
Rosslare,25,Aberystwyth,26,3
Rosslare,25,Holyhead,19,3
Rosslare,25,Dublin,18,2
Rosslare,25,Tullamore,17,2
Aberystwyth,26,Rosslare,25,3
Aberystwyth,26,Carmarthen,33,1
Aberystwyth,26,Llandrindod_Wells,27,1
Aberystwyth,26,Holyhead,19,2
Llandrindod_Wells,27,Cardiff,34,1
Llandrindod_Wells,27,Birmingham,35,2
Llandrindod_Wells,27,Manchester,29,3
