Origin,originId,Destination,destinationId,pointValue
Galway,15,Barrow,20,12
Londonderry,4,Dublin,18,6
Cork,24,Leeds,22,13
Rosslare,25,Aberystwyth,26,4
Liverpool,28,Hull,23,3
Fort_William,1,Edinburgh,13,3
Londonderry,4,Stranraer,12,4
Galway,15,Dublin,18,5
London,42,France,46,7
Aberystwyth,26,Cardiff,34,2
Cardiff,34,London,42,8
Manchester,29,Plymouth,39,8
Penzance,32,London,42,10
Newcastle,14,Hull,23,3
Bristol,40,Southampton,43,2
Southampton,43,London,42,4
Cardiff,34,Reading,41,4
Limerick,16,Cardiff,34,12
Inverness,7,Leeds,22,13
Manchester,29,Norwich,31,6
Londonderry,4,Birmingham,35,15
Wick,3,Dundee,6,4
Birmingham,35,London,42,4
Northampton,36,Dover,45,3
Holyhead,19,Cardiff,34,4
Sligo,9,Holyhead,19,9
Inverness,7,Belfast,11,10
Dundalk,10,Carlisle,21,7
Manchester,29,London,42,6
Glasgow,5,Manchester,29,11
Edinburgh,13,London,42,15
Stornoway,0,Glasgow,5,7
Newcastle,14,Southampton,43,7
London,42,Brighton,44,3
Leeds,22,France,46,10
Dublin,18,London,42,15
Glasgow,5,France,46,19
Liverpool,28,Southampton,43,6
Stornoway,0,Aberdeen,8,5
Liverpool,28,Llandrindod_Wells,27,6
Nottingham,30,Ipswich,38,3
Rosslare,25,Carmarthen,33,6
Stranraer,12,Tullamore,17,6
Dublin,18,Cork,24,6
Cambridge,37,London,42,3
Aberdeen,8,Glasgow,5,5
Norwich,31,Ipswich,38,1
Belfast,11,Manchester,29,9
Belfast,11,Dublin,18,4
Ullapool,2,Dundee,6,4
Leeds,22,London,42,6
Edinburgh,13,Birmingham,35,12
Birmingham,35,Cambridge,37,2
Wick,3,Edinburgh,13,5
Plymouth,39,Reading,41,5
Glasgow,5,Dublin,18,9
Leeds,22,Manchester,29,1
